sphere;shortName;onMap?;gridRef;xCoord;yCoord;sphereRadius;primaryBody;Planet 1;Orbit Radius (million miles);Orbit Track;Planet 2;Orbit Radius (million miles);Orbit Track;Planet 3;Orbit Radius (million miles);Orbit Track;Planet 4;Orbit Radius (million miles);Orbit Track;Planet 5;Orbit Radius (million miles);Orbit Track;Planet 6;Orbit Radius (million miles);Orbit Track;Planet 7;Orbit Radius (million miles);Orbit Track;Planet 8;Orbit Radius (million miles);Orbit Track;Planet 9;Orbit Radius (million miles);Orbit Track;Planet 10;Orbit Radius (million miles);Orbit Track;Planet 11;Orbit Radius (million miles);Orbit Track;Planet 12;Orbit Radius (million miles);Orbit Track;Planet 13;Orbit Radius (million miles);Orbit Track;Planet 14;Orbit Radius (million miles);Orbit Track;Planet 15;Orbit Radius (million miles);Orbit Track;Planet 16;Orbit Radius (million miles);Orbit Track;Planet 17;Orbit Radius (million miles);Orbit Track;Planet 18;Orbit Radius (million miles);Orbit Track;Planet 19;Orbit Radius (million miles);Orbit Track;Planet 20;Orbit Radius (million miles);Orbit Track;Planet 21;Orbit Radius (million miles);Orbit Track;Planet 22;Orbit Radius (million miles);Orbit Track;Planet 23;Orbit Radius (million miles);Orbit Track;region;flowRiver;population;activity;controlled;description;source;creator;website;isKnown
Pearlspace;Pearl;Yes;M6;298;271;2324;Dragonsun;;77;I4;;145;I7;;171;I9;;297;I15;;404;O1;;1162;O3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Civilization is young in Pearlspace, immigrating from other spheres. Strange and unusual worlds abound, strangest of all the gigantic dragon who's fiery breath lights and heats the whole sphere.;;Adam Miller;www.spelljammer.org/worlds/Maelstrom/;yes
Songspace;Song;Yes;M7;300;254;6438;;;44;I2;;50;I3;;179;I9;;196;I10;;318;O1;;379;O1;;1584;O4;;2374;O6;;3219;O8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Maelstrom;;Various;Low;IEN;Largest and wildest sphere in the Maelstrom and home to endless herds of kindori and other space-born creatures. The famous Travelling City, built upon the back of a gigantic, space-travelling whale ten miles long, wanders this sphere.;;Adam Miller;www.spelljammer.org/worlds/Maelstrom/Songspace/;yes
Caz-Adar Space;Caz-Adar;Yes;M8;301;226;5536;Caz-Adar;Glyphen-Tur;28,186;I1;Zagnabar;52,3073;I3;Lufin-Melch;68,289;I3;Inner Belt;95,897;I5;Vordes-Jiar;129,3156;I6;Aldrazar;170;I9;Lamanfish;201,96;I10;Outer Belt;245,555548;I12;Olupi'sard;520,8724284176;O1;Kyldren;729,2263108956;O2;Quabbor-Claaz;974,7818588956;O2;Ryuto-Mas;1078,9465223572;O3;Isduron;1324,5020703572;O3;Palajanari;1562,6172852528;O4;Erxixor;1741,2098353132;O4;Haquarn;2001,646049522;O5;Leind-Pixak;2299,2839292528;O6;Farfegworld;2768,0740259396;O7;;;;;;;;;;;;;;;;Known Spheres;;Various;High;None;;Hackjammer p.60-83;Adam Miller, Paul Westermeyer, Rian McMurty;;yes
Ytherik System;Ytherik;Yes;M9;310;200;3120;Ytherik;Karakos;98;I5;Charax;217;I11;Onozuki;363;O1;Huatepec;1560;O4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Known Spheres;Arcane Inner Flow;;;;;Hackjammer p.125;Adam Miller, Paul Westermeyer, Rian McMurty;;yes
S'Sirenthspace;S'Sirenth;Yes;N1;317;397;3940;;;16;I1;;85;I4;;153;I8;;193;I10;;263;I13;;372;O1;;919;O2;;1970;O5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hammerflow;;;;;Spike's Hammer;;;yes
Fungospace;Fungo;Yes;N10;321;173;4094;Sun, Fungospace;Fungo 1;46;I2;Fungo 2;78;I4;Fungo 3;105;I5;Fungo 4;1208;O3;Fungo 5;2047;O5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;Medium;None;Example sphere;Concordance of Arcane Space p.77;TSR;;yes
'Malspace;'Mal;Yes;N11;313;136;826;Ptah's Furnace;Jungle World;29;I1;;86;I4;;208;I10;Al'malamut;211;I11;;413;O1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ptah Priests;Near illithid territories;Empire of Sand;Ville Lavonius;http://www.spelljammer.org/worlds/locs/Almalamut.html;yes
Neomaraspace;Neomara;Yes;N11;331;146;10400;Teroa;Essio;80;I4;Zerox;120;I6;The Necklace;310;O1;Skares/Caulen;1600;O4;Aracia;3200;O8;Jet;5200;O13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Human (mostly);High;None;Pirate Activity;Spelljammer Mailing List;Rupert Smith;;yes
Cryospace;Cryo;Yes;N12;329;117;246;Articka;Lumus;123;I6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;Low;None;(aka. Coldspace);;Max Currier;;yes
Dirkspace  ;Dirk;Yes;N2;316;369;1606;Fireforge;Cliff;90;I5;Dirk;177;I9;Knife;278;I14;Dagger;351;O1;Whetstone;803;O2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;Moderate;IEN;Dirkspace is named for its three planets that look very akin to blades.;;Rovion;;yes
Racespace  ;Race;Yes;N3;329;347;744;Altanor;Naugeska;97;I5;Edheleska;158;I8;Hineska;263;I13;Edaneska;372;O1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;Low;IEN;Racespace is a sphere that was started many millenia ago. It was hoped that humans and demihumans could get along if they shared a sphere but kept to their own planets. Unfortunetly, they were forgotten.;;Rovion;;no
Seven Stars Space;Seven Stars;Yes;N4;332;320;5000;Seven Stars Sargasso;Seven Stars;2500;O6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Arcane Inner Flow;;;;;Spelljammer;;;yes
Nalspace;Nal;Yes;N5;325;284;200;Sun, Nalspace;Fariam;7;I0;Nalkak;;;Tho;100;I5;The Fraze;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Arcane Inner Flow;Various;Medium;None;35 days inside innerflow (to, 36 days from);Spike's Hammer;;http://www.reocities.com/TimeSquare/Lair/3989/places/os011/nalframe.html;yes
Elysak System;Elysak;Yes;N7;317;234;2442;Sun, Elysak System;Elysak 1;90;I5;Ippruk;140;I7;Elysak 3;185;I9;Elysak Water Belt;265;I13;Elysak Earth Belt;400;O1;Elysak 4;797;O2;Elysak 5;1221;O3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Known Spheres;;;;;;Hackjammer p.125;Adam Miller, Paul Westermeyer, Rian McMurty;;yes
Ashspace;Ash;Yes;N7;332;241;2606;Sun, Ashspace;Ash 1;12;I1;Ash 2;32;I2;Ash 3;71;I4;Ash 4;119;I6;Ash 5;165;I8;Ash 6;217;I11;Ash 7;346;O1;Ash 8;384;O1;Ash 9;893;O2;Ash 10;1303;O3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Known Spheres;;;;;;Hackjammer p.125;Adam Miller, Paul Westermeyer, Rian McMurty;;yes
A'Lantaenspace;A'Lantaen;Yes;N9/10;322;182;1840;Terrene;Moon;0,25;I0;Orb;40;I2;Shakalee;80;I4;Volca;125;;Sun, A'Lantaenspace;190;I10;Deshret;365;O1;Marinias;650;O2;Reign;920;O2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;Low;None;;;Zepharon;http://zephdm.tripod.com/intro.html;yes
Noamuth;Noamuth;Yes;O1;349;400;1812;;;84;I4;;105;I5;;131;I7;;188;I9;;299;I15;;403;O1;;906;O2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hammerflow;;;;;Spike's Hammer;;;yes
Rhymespace;Rhyme;Yes;O10;356;161;6200;Dragar;Micor;200;I10;Mesor;200;I10;Hantimi;210;I11;Rhymchaeld;600;O2;Knol;1000;O3;The Hammer;1500;O4;Likar;2000;O5;Farm;2400;O6;Brimi;3100;O8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;;;Home of Rhymchaeld campign;;Ian Hoskins;http://www.oocities.org/timessquare/realm/8501/spelljammer/rhymespace.html;yes
Maginciaspace;Magincia;Yes;O12;351;119;4044;Sol, Maginicaspace;Magincaspace Belt;36;I2;Rashaag;161;I8;Vos;213;I11;Gaia;418;O1;Uranus, Magincaspace;1640;O4;Bior;2022;O5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;None;Home of Maginca campaign world;;Pscion;lost.spelljammer.org/Magincia/;yes
Adramisspace;Adramis;Yes;O13;360;94;810;Sun, Adramisspace;Trask;129;I6;Adramis;153;I8;Galebdhur Belt;281;I14;B'aslar;405;O1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Beyond the Moons;Jaime Lopez;http://www.spelljammer.org/worlds/locs/Adramis/Adramis.html;yes
Bloodspace;Blood;Yes;O15;342;56;3086;Avani;Rosstien;35;I2;Kurmath;65;I3;Calisto;98;I5;Æbrynis;209;I10;Laerme;420;O1;Waypoint;890;O2;Harth, Bloodspace;1543;O4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lost Spheres;;Various;Low;None;Birthright Sphere;Birthright;TSR/Ian Hoskins;http://sjml.spelljammer.org/archive/mpgn/199804/27-000012.html;no
Aranspace;Aran;Yes;O16;353;19;5522;;;86;I4;;98;I5;;159;I8;;177;I9;;248;I12;;389;O1;;1247;O3;;2761;O7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Charles Taylor;;yes
Ssssspace  ;Ssss;Yes;O2;337;374;446;Stationary;Torus;122;I6;Holistic;155;I8;Slin;223;I11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;None;Low;IEN;Its name comes from the unusual noise that every sailor can hear while in the sphere.;SJR4 p.44;Nigel Findly/Rovion;;yes
Numosspace;Numos;Yes;O2;356;375;478;;Nemeliador;118;I6;Valendoar;239;I12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;IEN;;;;http://web.archive.org/web/20060506052359/http://www.nightwasp.com/daggerdale/sjgeonom.htm;yes
Wyrmspace ;Wyrm;Yes;O3;350;342;374;Sun, Wyrmspace;Borcus;118;I6;Pala;187;I9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"This sphere is home to the greatest of Wyrm-sages, Ocrattafarsmythe, a Golden Great Wyrm. It was given to him as a gift from a dragon god with the understanding that he must aid any dragon kind which came to him for wisdom. There is a direct portal to this sphere located in every Crystal Sphere that has a ""dragon"" constellation in it.";;Max Currier;;yes
Yggdrasil;Yggdrasil;Yes;O4;363;328;125;Yggdrasil;;62,5;I3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;Low;None;Sphere containing a giant tree;Spelljammer Mailing List;Rupert Smith;;yes
Nivelspace;Nivel;Yes;O5;355;289;2796;Threetee;Nivel;45;I2;Voy;155;I8;Plateau;207;I10;Jinx;313;O1;;402;O1;;1398;O3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;;;;SJR4 p.40;Nigel Findly/Rovion;;yes
Talangranspace  ;Talangran;Yes;O6;354;260;2380;Talangran;;55;I3;;163;I8;;257;I13;;382;O1;;1190;O3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Arcane Inner Flow;;;;"The sphere holds the Talangran Empire, a spelljamming aware groundling nation with superior technology and a thirst for Elven slaves. In my campaign the Talangran Empire has begun to expand into the stars. Inspired by ""The Lady Rose"" Dungeon #39(?)";Dungeon #39;TSR;;yes
Wayspace;Way;Yes;O8;348;215;4056;Sun, Wayspace;Nooti;59;I3;Poly;115;I6;Lyi;212;I11;Vicenor;368;O1;Oh;753;O2;Waypoint;2028;O5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Arcane Inner Flow;Various;High;IEN;Wayspace is a sphere mentioned during the Spelljammer book series. Teldin says that he comes from Lyi in Wayspace, which is a farming colony. This sphere comes from book 2.;TCMC2 p.186;TSR/Rovion;;yes
Solicespace  ;Solice;Yes;O9/10;352;189;756;Solice;Dante;18;I1;Vista;127;I6;Apogee;221;I11;Millway;378;O1;Aldos;378;O1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;Low-Medium;None;;;Klatris Starblossom;;yes
Enderraspace;Enderra;Yes;P/Q5;389;291;11200;Sun, Endarraspace;Goras;40;I2;Sharee;60;I3;Endarra;100;I5;Kayla;160;I8;Delora;400;O1;Celste;1200;O3;Aeron;2000;O5;Aguara;2800;O7;Orec;2800;O7;Mikturu;4000;O10;Dakordu;4400;O11;Nemesis;5600;O14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nills Jeppe;http://enderra.com;yes
Kaldricspace;Kaldric;Yes;P1;370;398;870;;;36;I2;;60;I3;;137;I7;;190;I10;;302;O1;;435;O1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hammerflow;;;;;Spike's Hammer;;;yes
Flatspace  ;Flat;Yes;P10;376;174;716;Sun, Flatspace;Nia;102;I5;Eclipse, Flatspace;229;I11;Plata;358;O1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Aarakocra;Low;None;;SJR4 p.46;Nigel Findly;;yes
Heatspace  ;Heat;Yes;P12/13;379;108;7188;Borgash;Flame;122;I6;Scorch;136;I7;Arish;227;I11;Heat;401;O1;Buurn;2016;O5;Florint;3594;O9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Due to the prescence of the many fire bodies of the sphere the temperature of the void is considerably higher than in any other sphere. It borders on uncomfortable near the shell and as a vessel draws near the center it becomes impossible to endure without protection.;;Max Currier;;yes
Emeraldspace;Emerald;Yes;P15;378;43;4804;Empty;Proteus;2402;O6;Thalassa;;;Despoina;;;Galactea;;;Larissa;2402;O6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;None;Low;None;It receives its name in that the chaos emeralds come from this sphere.;;Rovion;;yes
Imperial Space;Imperial;Yes;P2;372;370;2200;Gleaming Star;Sequena's Tears;20;I1;Nimbus;100;I5;Dragon;200;I10;Springtime;400;O1;Gold Coin;700;O2;Ironshod;1100;O3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;Moderate;Ezhian Empire;;;Mark Dolan;lost/spelljammer.org/ShatteredFractine/imperial/;yes
Dawnspace;Dawn;Yes;P4;378;319;868;Dawn;Dawn Moon;53;I3;Dawn Sun;182;I9;Dawn Cluster;208;I10;Morningstar;245;I12;Dawn Dice;434;O1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;Medium;IEN;;;Piet Kramer;lost.spelljammer.org/Dawnspace/;yes
Arthspace;Arth;Yes;P5;364;301;5590;The Sun, Arthspace;Khumrar;36;I2;Velvun;67;I3;Arth;94;I5;Xula;142;I7;Athspace Asteroid Belt;252;I13;Awan;485;O1;Xplanet7;886;O2;Oloro;1783;O4;Xplanet9;2795;O7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes
Chargespace;Charge;Yes;P7;380;233;2448;Source;Scales;122;I6;Eye of Law, Chargespace;238;I12;Justice;448;O1;The Boundry;1224;O3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;Moderate;Self;Its name was given due to the Great Expansion of 175BR when spelljammers charged into the sphere. It is a sphere of mercinaries and law.;;Rovion;;yes
Lahsphere;Lah;Yes;P7;378;241;542;;;25;I1;;91;I5;Xenix;165;I8;;271;I14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Beyond the Moons;Ville Lavonius;http://www.spelljammer.org/worlds/locs/Xenix.html;yes
Dungeonsphere  ;Dungeon;Yes;P9;375;204;10;Dungeonsphere  ;Solid;5;I0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;Low;None;What is Dungeonsphere? Dungeonsphere is the largest dungeon in all of known space. The size of this dungeon is not measured easily. Why is this? This is because Dungeonsphere is not on a planet, it is within a crystal sphere. So it is just on a large planet then? No it is the crystal sphere itself.;Spike's Hammer;;https://www.oocities.org/timessquare/lair/3989/places/os004/dsframe.html;no
Moorspace;Moor;Yes;Q1;392;388;4002;;;33;I2;;113;I6;;220;I11;;406;O1;;1574;O4;;2001;O5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hammerflow;;;;;Spike's Hammer;;;yes
Merspace;Mer;Yes;Q11;396;143;7200;Thul;Grissa;80;I4;Maasal;180;I9;Acrutias;2000;O5;Mer;2800;O7;Falakyr;3600;O9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Talon's Journal;;http://web.archive.org/web/20060506052359/http://www.nightwasp.com/daggerdale/sjgeonom.htm;yes
Clayspace ;Clay;Yes;Q11;404;144;256;Clay;Sun, Clayspace;128;I6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;Low;None;;;;;yes
Tenebrousspace;Tenebrous;Yes;Q14;394;60;4090;;;124;I6;;230;I12;;407;O1;;782;O2;;2045;O5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Charles Taylor;;yes
Wilderlandsspace;Wilderlands;Yes;Q3;398;338;280;Ghenrek/Sol;Ghenrek I;40;I2;Ghenrek II;70;I4;Ghenrek III;90;I5;Ghenrek IV / Gaia;140;I7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;The Wilderlands of High Fantasy.;;;yes
Bugspace;Bug;Yes;Q4;410;320;10;World Tree;ToroidOcean;5;I0;Stellar Fish;5;I0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mystaran Cluster: Core Sphere;;Carnifex;Medium;None;;;John Calvin (Chimpman);http://www.seedwiki.com/?wiki=mystaraspace_exiles_campaign&page=bugspace;yes
Seskotspace;Seskot;Yes;Q6;395;269;5534;Sun, Seskotspace;T'Larick;28;I1;Dofloogah;121;I6;The Cold;222;I11;Valestra;436;O1;Akeema;1967;O5;Vanosh;2351;O6;Krastarrph Dell;2767;O7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Casa Flow;;High;;;;Daniel Knight;home.1asphost.com/flits3/files/spelljammer/spheres/seskotspace.html;yes
Runalspace;Runal;Yes;Q8/9;404;207;6300;;;116;I6;;151;I8;;186;I9;;218;I11;;381;O1;;1226;O3;;1634;O4;;3150;O8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://web.archive.org/web/20060506052359/http://www.nightwasp.com/daggerdale/sjgeonom.htm;yes
Fallspace;Fall;Yes;R/S11;438;152;2446;Sun, Fallspace;Ir;91;I5;Sur;196;I10;Drer;317;O1;Mer, Fallspace;420;O1;Skern;1223;O3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;None;None;None;It is named so because of the antimagic effects of the planet's atmospheres. Spelljammers who enter these atmospheres... fall.;;Rovion;;yes
Webspace;Web;Yes;R/S4;438;324;600;Sun, Webspace;Web 1;45;I2;Web 2;102;I5;Webspace Belt;195;I10;Web 3;242;I12;Web 4;300;I15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mystaran Cluster: Inner Sphere (Near Mystara);;John Calvin (Chimpman);http://www.seedwiki.com/?wiki=mystaraspace_exiles_campaign&page=inner_spheres;yes
Sergoniaspace;Sergonia;Yes;R1;433;390;3994;Sergonia Primary;Sergonia 1;88;I4;Sergonia 2;172;I9;Sergonia 3;297;I15;Sergonia 4;437;O1;Sergonia 5;1997;O5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Blackflow;;;;;Spike's Hammer;;www.reocities.com/TimeSquare/Lair/3989/places/if001/belframe.html;no
Isverspace;Isver;Yes;R1/2;428;382;700;Isver Primary;Isver 1;12;I1;Isver 2;60;I3;Isver 3;109;I5;Isver 4;207;I10;Isver 5;314;O1;Isver 6;350;O1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Blackflow;Wemics;Medium;Wemics;Wemic-controlled sphere in the Black Flow;Spike's Hammer;;www.reocities.com/TimeSquare/Lair/3989/places/places.html;no
Ragestarspace;Ragestar;Yes;R10;434;178;12268;Ragestar;Rage Fire Ring;13;I1;Shaien;51;I3;Thufur;79;I4;Dormoin;129;I6;Crystalribbon;156;I8;Winterlight;214;I11;Merchant's Belt;352;O1;Shaseth;766;O2;Garolas;1531;O4;Iberoth;2504;O6;Gia-Uetau'auv'twg;3141;O8;Zhl-Chal;3566;O9;Twins of Tempest;4286;O11;Thaskal-Ngr;5428;O14;Qex'pomili;6134;O15;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;;;Aka: Ragespace;;Terry Hawkins;http://sjml.spelljammer.org/archive/mpgn/199811/28-000018.html;yes
Ametsuchispace;Ametsuchi;Yes;R13;426;91;6000;Zhongguó;Asahi;40;I2;Bhoomi;100;I5;Chisama;600;O2;Srivijaya;1200;O3;Rani;2600;O7;Kanshou Belt;3000;O8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Arcane Outer Flow;Various;High;None;Oriental-themed sphere;BESM 3e;GoO/Nerik;http://besm.wikispaces.com/Ametsuchispace;yes
Slayerspace;Slayer;Yes;R14;435;59;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes
Fodruin;Fodruin;Yes;R2;422;365;602;;;102;I5;;173;I9;;301;O1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Spike's Hammer;;;no
Warrenspace;Warren;Yes;R3;413;351;1582;Warren;Ellera;42;I2;Aluvia, Warrenspace;58;I3;Ferra;128;I6;Arra;206;I10;K'chill;228;I11;Thanion;400;O1;The Collapsar;791;O2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ripvanwormer;http://www.thepiazza.org.uk/bb/viewtopic.php?p=64744&sid=186501b3ecac842060e9f04e6b6c5a83#p64744;no
Pillarspace;Pillar;Yes;R5;423;302;3000;The Pillar;Secundus;250;I13;Hourus;500;O1;Minutus;750;O2;The Shards;1500;O4;The Columns;1500;O4;The Vortex;1500;O4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mystaran Cluster: Elemental Sphere;;;;;;;John Calvin (Chimpman);http://www.seedwiki.com/?wiki=mystaraspace_exiles_campaign&page=pillarspace;yes
Oceanspace;Ocean;Yes;R6;422;269;3000;Water Spiral;;1500;O4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mystaran Cluster: Core Sphere;;;;;;;John Calvin (Chimpman);http://www.seedwiki.com/?wiki=mystaraspace_exiles_campaign&page=core_spheres;yes
Mystaraspace;Mystara;Yes;S/T4;462;322;7332;Ixionis;Alphakisi;36;I2;Valeriae;67;I3;Mystara;9;I0;Vaniae;141;I7;Damocles;25;I1;Khoronus;483;O1;Tarastiae;887;O2;Proteanis;1783;O4;Helae;2794;O7;Thanatoi;3666;O9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mystaran Cluster;;Various;Low;Self;D&D Setting World;Known World sourcebooks;TSR/Piazza;http://www.thepiazza.org.uk/bb/viewtopic.php?f=2&t=183;no
Odivspace;Odiv;Yes;S1;444;391;384;Primary;Odiv 1;12;I1;Odiv 2;72;I4;Odiv 3;130;I7;Odiv 4;153;I8;Odiv 5;175;I9;Odiv 6;192;I10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Blackflow;;;;;Spike's Hammer;;www.reocities.com/TimeSquare/Lair/3989/places/if001/belframe.html;no
Analothspace;Analoth;Yes;S1;453;396;396;Analoth Primary;Analoth 1;67;I3;Analoth 2;91;I5;Analoth 3;198;I10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Blackflow;;Low;;;Spike's Hammer;;http://www.reocities.com/TimeSquare/Lair/3989/places/if001/belframe.html;no
Ramancyspace;Ramancy;Yes;S1;443;399;1600;Ramancy Primary;Ramancy 1;32;I2;Ramancy 2;89;I4;Ramancy 3;119;I6;Ramancy 4;225;I11;Ramancy 5;379;O1;Ramancy 6;800;O2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Blackflow;;;;;Spike's Hammer;;www.reocities.com/TimeSquare/Lair/3989/places/if001/belframe.html;no
Metalspace;Metal;Yes;S12;450;130;156;The Soul Forge;Sargassos;1;I0;Wild Magic Zones;1;I0;Garatoch;14;I1;Verdigris;78;I4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Arcane Outer Flow;;;Arcane;;Spelljammer Mailing List;George “Loki” Williams;http://oracle.wizards.com/scripts/wa.exe?A2=ind0501d&L=spelljammer-l&D=1&F=&S=&P=2850;yes
Nehwonspace;Nehwon;Yes;S13;462;93;1000;;;500;O1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Outer Reaches;;Humans;Low;None;Home of Fritz Lieber's Lanhkmar - water filled, planets are bubbles;Lankmar Novels;Fritz Lieber;;yes
